PP,Mean,Std
Original,0.9261974944731023,0.0057142169597861
PCA,0.9446204863669859,0.002799082466515667
Euclidean,0.9726971259523809,0.003928976876936281
Harmonic,0.9855195283714077,0.0027796137380313164
LogEuclid,0.9519159911569639,0.003367932538719345
Kullback,0.9530582166543844,0.004742122488782963
Riemann,0.9466101694915254,0.003651100493348675
