,Accuracy,Loss
1,0.968312454,0.11024658
2,0.962417097,0.111008926
3,0.958732498,0.118553858
4,0.955784819,0.129641005
5,0.965364775,0.095802838
6,0.95357406,0.140493
7,0.963154016,0.113074185
8,0.965364775,0.159280832
9,0.967575534,0.109776483
10,0.969786293,0.126691865
11,0.966838615,0.116773829
12,0.957258659,0.107975824
13,0.959469418,0.115299668
14,0.966101695,0.10724503
15,0.964627856,0.097675517
16,0.951363301,0.143099861
17,0.968312454,0.131620174
18,0.95431098,0.133404496
19,0.964627856,0.104649945
20,0.960943257,0.085954212
,,
,,
,0.962196021,
