,Accuracy,Loss
1,0.9557848194546794,0.15352396211461689
2,0.9506263817243921,0.16518669832038177
3,0.9535740604274134,0.16172910784928618
4,0.9498894620486367,0.1597464166128833
5,0.9543109801031687,0.1661261694701337
6,0.9557848194546794,0.139122798654695
7,0.9521002210759028,0.18080361519509697
8,0.9513633014001474,0.15258857100159204
9,0.952837140751658,0.16175612966439123
10,0.9447310243183493,0.17479064297719993
11,0.9557848194546794,0.1638778605623579
12,0.9491525423728814,0.17098924643866045
13,0.94620486366986,0.1688753101377856
14,0.948415622697126,0.15798380636159007
15,0.9572586588061901,0.16128914785429038
16,0.9476787030213707,0.17969310925810378
17,0.9543109801031687,0.18116563168898034
18,0.9513633014001474,0.18025538561313412
19,0.9550478997789241,0.1772252354722875
20,0.9521002210759028,0.16453285221675923
