,Accuracy,Loss
1,0.9557848194546794,0.1345448218162547
2,0.952837140751658,0.1484818243684031
3,0.952837140751658,0.14319145503843247
4,0.9506263817243921,0.14268779049371927
5,0.9476787030213707,0.14240479343064802
6,0.948415622697126,0.16606132801395754
7,0.9550478997789241,0.13173620866587588
8,0.9410464259395726,0.14413063110128513
9,0.9521002210759028,0.13550301686505586
10,0.9587324981577008,0.13805877904426547
11,0.9498894620486367,0.1468587116943758
12,0.9557848194546794,0.15457608047221028
13,0.9579955784819455,0.13701506944212027
14,0.9498894620486367,0.13374183583544982
15,0.9521002210759028,0.13665351417073449
16,0.9550478997789241,0.13502302845428882
17,0.9638909358879882,0.12630400573405992
18,0.9506263817243921,0.1496734551358179
19,0.9579955784819455,0.12871832441723807
20,0.952837140751658,0.1366066285177489
