,Accuracy,Loss
0.025,0.9276315789473685,0.23834055711011418
0.05,0.9144736842105263,0.20039652068106856
0.07500000000000001,0.9473684210526315,0.36453344831701184
0.1,0.8947368421052632,0.3671941801172788
0.125,0.9407894736842105,0.40882140153744184
0.15,0.9276315789473685,0.29952650871433195
0.17500000000000002,0.9210526315789473,0.479909850437133
0.2,0.8881578947368421,0.48905316923485426
0.225,0.868421052631579,0.499649103547706
0.25,0.8421052631578947,0.32680058821302943
0.275,0.8552631578947368,0.42595284004680445
0.30000000000000004,0.8947368421052632,0.5238457370976932
0.32500000000000007,0.8618421052631579,0.3864040804691002
0.35000000000000003,0.8355263157894737,0.3755479161856604
0.37500000000000006,0.8552631578947368,0.40346302458497346
0.4,0.8881578947368421,0.31805845362241153
0.42500000000000004,0.8947368421052632,0.4158871222714909
0.45000000000000007,0.875,0.4170594576929436
0.47500000000000003,0.9144736842105263,0.4045426381416008
0.5,0.868421052631579,0.461916234161033
0.525,0.8552631578947368,0.3930090607189741
0.55,0.8223684210526315,0.35473674584607606
0.5750000000000001,0.9407894736842105,0.35602344450403434
0.6000000000000001,0.8881578947368421,0.463657983013841
0.6250000000000001,0.875,0.36618185189903757
0.65,0.8421052631578947,0.5299043054463434
0.675,0.8947368421052632,0.43373786865687763
0.7000000000000001,0.8289473684210527,0.40142057371921225
0.7250000000000001,0.8881578947368421,0.3928814305633795
0.7500000000000001,0.875,0.4334583746605232
0.775,0.868421052631579,0.3277755003483569
0.8,0.8618421052631579,0.3323867120703713
0.8250000000000001,0.8618421052631579,0.37811903826525955
0.8500000000000001,0.9078947368421053,0.4471884115797574
0.8750000000000001,0.9013157894736842,0.4054094504137508
0.9,0.8881578947368421,0.33157573298352666
0.925,0.8881578947368421,0.3931132799289266
0.9500000000000001,0.8421052631578947,0.37737104540965594
0.9750000000000001,0.8552631578947368,0.47713709561551204
