PctComps,Accuracy
0.05,0.930921053
0.1,0.924342105
0.15,0.927631579
0.2,0.921052632
0.25,0.917763158
0.3,0.904605263
0.35,0.911184211
0.4,0.927631579
0.45,0.904605263
0.5,0.894736842
0.55,0.894736842
0.6,0.894736842
0.65,0.898026316
0.7,0.894736842
0.75,0.891447368
0.8,0.917763158
0.85,0.894736842
0.9,0.911184211
0.95,0.891447368
