"0.001	0.799265"
"0.02	0.8698529"
"0.04	0.8566176"
"0.06	0.8492647"
"0.08	0.8308824"
"0.1	0.8279411"
"0.12	0.8220588"
"0.14	0.8235294"
"0.16	0.8154412"
"0.18	0.8139706"
"0.2	0.8110294"
"0.22	0.8073529"
"0.24	0.799265"
"0.26	0.797794"
"0.28	0.7955882"
"0.3	0.7955882"
"0.32	0.7933824"
"0.34	0.7919118"
"0.36	0.7911768"
"0.38	0.7897059"
"0.4	0.7882353"
"0.42	0.7882353"
"0.44	0.7882353"
"0.46	0.78897059"
"0.48	0.7889706"
"0.5	0.79044118"
"0.52	0.7897059"
"0.54	0.7911765"
"0.56	0.7911765"
"0.58	0.7926471"
"0.6	0.7919118"
"0.62	0.79411765"
"0.64	0.79264706"
"0.66	0.79264706"
"0.68	0.7948529"
"0.7	0.7955882"
"0.72	0.7955882"
"0.74	0.7955882"
"0.76	0.7955882"
"0.78	0.7955882"
"0.8	0.7955882"
"0.82	0.7955882"
"0.84	0.7955882"
"0.86	0.7955882"
"0.88	0.7955882"
"0.9	0.7955882"
"0.92	0.7955882"
"0.94	0.7955882"
"0.96	0.7955882"
"0.98	0.7955882"
"1	0.7955882"
