,Accuracy,Loss
1,0.875,0.2357081794179976
2,0.875,0.19487466546706855
3,0.875,0.2133628511801362
4,0.875,0.20582226593978703
5,0.875,0.18959358567371964
6,0.875,0.20589057239703834
7,0.875,0.22864480572752655
8,0.875,0.22198644350282848
9,0.875,0.2529363827779889
10,0.875,0.22058984474278986
11,0.875,0.2059517364250496
12,0.875,0.2061965747270733
13,0.875,0.21313909883610904
14,0.875,0.21469955379143357
15,0.875,0.22425496065989137
16,0.875,0.20047825505025685
17,0.875,0.2014559768140316
18,0.875,0.21449477318674326
19,0.875,0.22144275112077594
20,0.875,0.22907618433237076
