,Accuracy,Loss
1,0.7982456140350878,0.49476396906506886
2,0.7763157894736842,0.559228519816975
3,0.8026315789473685,0.5340057460816352
4,0.793859649122807,0.5327598396893386
5,0.793859649122807,0.49730696913960215
6,0.793859649122807,0.5008375294260926
7,0.8070175438596491,0.5165230821777176
8,0.8026315789473685,0.518381824532708
9,0.7719298245614035,0.5501738416624593
10,0.7982456140350878,0.5031416347393622
11,0.8114035087719298,0.49657374653187425
12,0.793859649122807,0.4901959080617506
13,0.8157894736842105,0.5007338284791171
14,0.7850877192982456,0.5104395648935339
15,0.8026315789473685,0.5042669393204071
16,0.7894736842105263,0.5335359340840644
17,0.7763157894736842,0.48906940614784156
18,0.7719298245614035,0.5087452697884906
19,0.7807017543859649,0.5065415259245988
20,0.7675438596491229,0.5261591237324935
