,Accuracy,Loss
1,0.9473684210526315,0.12819806509651244
2,0.9605263157894737,0.11235005571506917
3,0.8782894736842105,0.1746704508550465
4,0.9802631578947368,0.16638132650405169
5,0.875,0.22378846583887935
6,0.8914473684210527,0.18788348929956555
7,0.993421052631579,0.18395659676752985
8,0.9802631578947368,0.08470744965597987
9,0.9342105263157895,0.17030322807841003
10,0.9605263157894737,0.1319434888428077
11,0.9703947368421053,0.134150474332273
12,1.0,0.09479055111296475
13,0.9342105263157895,0.13864414300769567
14,0.9539473684210527,0.15339773427695036
15,0.9144736842105263,0.17373977531678975
16,0.930921052631579,0.16545520653016865
17,0.875,0.24809046555310488
18,0.9342105263157895,0.15509223681874573
19,0.9769736842105263,0.1200088441837579
20,0.9177631578947368,0.14796458359342068
