,Accuracy,Loss
1,0.9535740604274134,0.16756192080223759
2,0.9521002210759028,0.187299780369244
3,0.9439941046425939,0.18369076989632285
4,0.94620486366986,0.1770734393464926
5,0.9491525423728814,0.17444240124844715
6,0.9565217391304348,0.17807805853763778
7,0.9476787030213707,0.17270970424126086
8,0.948415622697126,0.15761477990045072
9,0.9447310243183493,0.17031064152058975
10,0.9565217391304348,0.16275889746172434
11,0.9491525423728814,0.17191401192606265
12,0.948415622697126,0.18434003879132632
13,0.9395725865880619,0.17904574200373768
14,0.9550478997789241,0.17105486599340844
15,0.952837140751658,0.17075900308115488
16,0.94620486366986,0.16830551004102437
17,0.9521002210759028,0.1713835319047914
18,0.948415622697126,0.17442051737018713
19,0.9447310243183493,0.16173318695297556
20,0.952837140751658,0.17602796309231394
